Objective,Algorithm,ScenarioID,Description,RiseTime,SettlingTime,OvershootPct,SteadyStateError,PeakTime,ObjectiveValue
ITAE,HOA,S11,Down Res+,0.4854296106227016,0.5166666666666666,0.0,-0.019630310234809656,25.019630310234817,3708.6239017984976
ITAE,PSO,S0,Normal,0.7331276348096615,0.7666666666666666,0.0,0.020264430066657013,24.97973556993335,3852.3654985678572
ITAE,PSO,S1,Mass+10%,0.823099084674635,0.8666666666666667,0.0,0.021735276567376616,24.97826472343262,4140.031611540503
ITAE,PSO,S2,Mass-10%,0.6463921410862707,0.6833333333333333,0.0,0.018793583604384878,24.981206416395615,3566.3048785675464
ITAE,PSO,S3,Res+20%,0.761501680604928,0.8,0.0,0.023206123106568555,24.976793876893428,4408.441199639256
ITAE,PSO,S4,Up Normal,1.5652555130358827,1.6333333333333333,0.0,0.06260929323276088,24.93739070676724,11954.396819046375
ITAE,PSO,S5,Up Mass+,2.0300620526188404,2.1166666666666667,0.0,0.06831462902153618,24.931685370978457,13151.991929477043
ITAE,PSO,S6,Up Mass-,1.2218495977646255,1.2833333333333332,0.0,0.05690395802270487,24.94309604197729,10809.723680957191
ITAE,PSO,S7,Up Res+,1.6955930397317558,1.7666666666666666,0.0,0.06550629752532089,24.934493702474672,12530.494068462987
ITAE,PSO,S8,Down Normal,0.473693749229687,0.5,0.0,-0.02252731014232623,25.02252731014233,4252.030036182586
ITAE,PSO,S9,Down Mass+,0.5104567922238523,0.5333333333333333,0.0,-0.025335637102845254,25.025335637102845,4782.640122882937
ITAE,PSO,S10,Down Mass-,0.4352158562324784,0.4666666666666667,0.0,-0.019718983041592253,25.0197189830416,3721.4975720532198
ITAE,PSO,S11,Down Res+,0.4854296106227016,0.5166666666666666,0.0,-0.019630310234809656,25.019630310234817,3708.6239017984976
ITAE,SKA,S0,Normal,0.7331276348096615,0.7666666666666666,0.0,0.02026443006666767,24.97973556993334,3852.3654985698668
ITAE,SKA,S1,Mass+10%,0.823099084674635,0.8666666666666667,0.0,0.021735276567390827,24.97826472343261,4140.031611542504
ITAE,SKA,S2,Mass-10%,0.6463921410862707,0.6833333333333333,0.0,0.01879358360439909,24.981206416395608,3566.304878568882
ITAE,SKA,S3,Res+20%,0.761501680604928,0.8,0.0,0.02320612310658632,24.976793876893417,4408.441199641256
ITAE,SKA,S4,Up Normal,1.5652555130358827,1.6333333333333333,0.0,0.0626092932327964,24.937390706767207,11954.396819052376
ITAE,SKA,S5,Up Mass+,2.0300620526188404,2.1166666666666667,0.0,0.06831462902158236,24.931685370978425,13151.991929483043
ITAE,SKA,S6,Up Mass-,1.2218495977646255,1.2833333333333332,0.0,0.0569039580227404,24.943096041977267,10809.72368096186
ITAE,SKA,S7,Up Res+,1.6955930397317558,1.7666666666666666,0.0,0.06550629752535997,24.93449370247464,12530.494068468986
ITAE,SKA,S8,Down Normal,0.473693749229687,0.5,0.0,-0.022527310142336887,25.02252731014234,4252.030036184587
ITAE,SKA,S9,Down Mass+,0.5104567922238523,0.5333333333333333,0.0,-0.025335637102848807,25.025335637102856,4782.640122884943
ITAE,SKA,S10,Down Mass-,0.4352158562324784,0.4666666666666667,0.0,-0.019718983041606464,25.019718983041606,3721.4975720545544
ITAE,SKA,S11,Down Res+,0.4854296106227016,0.5166666666666666,0.0,-0.019630310234830972,25.019630310234827,3708.623901800504
IAE,KMA,S0,Normal,0.7331276348096615,0.7666666666666666,0.0,0.020264430066657013,24.97973556993335,273.41332077596036
IAE,KMA,S1,Mass+10%,0.823099084674635,0.8666666666666667,0.0,0.021735276567376616,24.97826472343262,299.80912115503025
IAE,KMA,S2,Mass-10%,0.6463921410862707,0.6833333333333333,0.0,0.018793583604384878,24.981206416395615,247.61363297458047
IAE,KMA,S3,Res+20%,0.761501680604928,0.8,0.0,0.023206123106568555,24.976793876893428,296.99890931450415
IAE,KMA,S4,Up Normal,1.5652555130358827,1.6333333333333333,0.0,0.06260929323276088,24.93739070676724,689.5082282441207
IAE,KMA,S5,Up Mass+,2.0300620526188404,2.1166666666666667,0.0,0.06831462902153618,24.931685370978457,810.1376276777581
IAE,KMA,S6,Up Mass-,1.2218495977646255,1.2833333333333332,0.0,0.05690395802270487,24.94309604197729,590.7380475480533
IAE,KMA,S7,Up Res+,1.6955930397317558,1.7666666666666666,0.0,0.06550629752532089,24.934493702474672,731.2006594508485
IAE,KMA,S8,Down Normal,0.473693749229687,0.5,0.0,-0.02252731014232623,25.02252731014233,237.4663544375305
IAE,KMA,S9,Down Mass+,0.5104567922238523,0.5333333333333333,0.0,-0.025335637102845254,25.025335637102845,261.9392771649789
IAE,KMA,S10,Down Mass-,0.4352158562324784,0.4666666666666667,0.0,-0.019718983041592253,25.0197189830416,212.6405432652682
