Objective,ScenarioID,Description,Algorithm,Cost,TTC_Min,TET,TIT,Max_Jerk,ObjectiveValue
ITAE,S10,Down Mass-,SKA,930863.1308844008,17.72917944181572,0.0,0.0,151.56529993355062,1115514.5103915897
ITAE,S11,Down Res+,KMA,930863.1308844008,17.634808780436177,0.0,0.0,161.9631825847624,1122478.9017676297
ITAE,S11,Down Res+,GA,930863.1308844008,17.677962315265926,0.0,0.0,169.9939817867428,1118945.7134671772
ITAE,S11,Down Res+,HOA,930863.1308844008,17.628442640267004,0.0,0.0,161.9631825847624,1122339.693495571
ITAE,S11,Down Res+,PSO,930863.1308844008,17.634808774353377,0.0,0.0,161.9631825847624,1122478.9016274717
ITAE,S11,Down Res+,SKA,930863.1308844008,17.634809047412972,0.0,0.0,161.9631825847985,1122478.9079090576
IAE,S0,Normal,KMA,930863.1308844008,17.241717110514223,0.0,0.0,114.17389658260029,102113.35966585118
IAE,S0,Normal,GA,930863.1308844008,17.26395606474212,0.0,0.0,107.06802057954843,102554.4706406694
IAE,S0,Normal,HOA,930863.1308844008,17.24941757432722,0.0,0.0,115.59366177650551,102248.05482342865
IAE,S0,Normal,PSO,930863.1308844008,17.241717110514223,0.0,0.0,114.17389658260029,102113.35966584877
IAE,S0,Normal,SKA,930863.1308844008,17.241717110514223,0.0,0.0,114.1738965826005,102113.35966584944
IAE,S1,Mass+10%,KMA,930863.1308844008,17.145908975761635,0.0,0.0,88.29911828934499,104936.44442624744
IAE,S1,Mass+10%,GA,930863.1308844008,17.16952028595076,0.0,0.0,76.15310018394956,105328.5191757656
IAE,S1,Mass+10%,HOA,930863.1308844008,17.188609696852662,0.0,0.0,78.89727451228138,105007.30046585745
IAE,S1,Mass+10%,PSO,930863.1308844008,17.145908975761635,0.0,0.0,88.29911784824111,104936.44442713013
IAE,S1,Mass+10%,SKA,930863.1308844008,17.145908975761635,0.0,0.0,88.29911784834015,104936.44442713037
IAE,S2,Mass-10%,KMA,930863.1308844008,17.345902247098625,0.0,0.0,139.0369835483931,99430.59994829785
IAE,S2,Mass-10%,GA,930863.1308844008,17.359986814974995,0.0,0.0,108.73931439455119,99875.98076949651
IAE,S2,Mass-10%,HOA,930863.1308844008,17.355682945491996,0.0,0.0,135.50563640202284,99589.05957789446
IAE,S2,Mass-10%,PSO,930863.1308844008,17.345902246209622,0.0,0.0,139.0369835483931,99430.59994761637
IAE,S2,Mass-10%,SKA,930863.1308844008,17.345902246209878,0.0,0.0,139.03698354839278,99430.59994761688
IAE,S3,Res+20%,KMA,930863.1308844008,17.202501089309276,0.0,0.0,103.05846556087425,103514.69771628545
IAE,S3,Res+20%,GA,930863.1308844008,17.22786150810628,0.0,0.0,106.28257119485569,103945.64167150274
IAE,S3,Res+20%,HOA,930863.1308844008,17.247199197429193,0.0,0.0,104.60357228997142,103601.86980589291
IAE,S3,Res+20%,PSO,930863.1308844008,17.202501089309276,0.0,0.0,103.05846556087425,103514.69771715805
IAE,S3,Res+20%,SKA,930863.1308844008,17.202501089309276,0.0,0.0,103.05846556087451,103514.69771715943
IAE,S4,Up Normal,KMA,930863.1308844008,17.094692770996776,0.0,0.0,84.96103453914301,133795.0510954195
IAE,S4,Up Normal,GA,930863.1308844008,17.152605698786438,0.0,0.0,64.41953287955468,134890.17601999195
IAE,S4,Up Normal,HOA,930863.1308844008,17.111226689354652,0.0,0.0,98.14494180059138,134024.54398606205
IAE,S4,Up Normal,PSO,930863.1308844008,17.094692770996776,0.0,0.0,84.96103405250028,133795.0510963408
IAE,S4,Up Normal,SKA,930863.1308844008,17.094692770996776,0.0,0.0,84.96103405265168,133795.05109634166
IAE,S5,Up Mass+,KMA,930863.1308844008,17.379282118249694,0.0,0.0,67.94553816009346,147445.12797448836
IAE,S5,Up Mass+,GA,930863.1308844008,17.45277919644099,0.0,0.0,90.3116792666619,148632.1444846691
IAE,S5,Up Mass+,HOA,930863.1308844008,17.386576900634765,0.0,0.0,85.60359249068695,147702.65584207512
IAE,S5,Up Mass+,PSO,930863.1308844008,17.379282118249694,0.0,0.0,67.94553849445747,147445.12797540298
IAE,S5,Up Mass+,SKA,930863.1308844008,17.379282118249694,0.0,0.0,67.94553849431824,147445.12797540397
IAE,S6,Up Mass-,KMA,930863.1308844008,17.04844140385336,0.0,0.0,77.83971595109774,123286.87135473272
IAE,S6,Up Mass-,GA,930863.1308844008,17.0884666121293,0.0,0.0,75.19697440311505,124282.82697546195
IAE,S6,Up Mass-,HOA,930863.1308844008,17.05449575589341,0.0,0.0,111.09413734810667,123487.23511601485
IAE,S6,Up Mass-,PSO,930863.1308844008,17.04844140385336,0.0,0.0,77.83971637027,123286.87135564485
IAE,S6,Up Mass-,SKA,930863.1308844008,17.04844140385336,0.0,0.0,77.83971637010374,123286.87135564568
IAE,S7,Up Res+,KMA,930863.1308844008,17.1641049875632,0.0,0.0,81.38706689895193,137896.51616431092
IAE,S7,Up Res+,GA,930863.1308844008,17.229730297566828,0.0,0.0,102.14747169797556,139043.82910605258
IAE,S7,Up Res+,HOA,930863.1308844008,17.171086906243403,0.0,0.0,85.16562855665386,138140.08190640135
IAE,S7,Up Res+,PSO,930863.1308844008,17.1641049875632,0.0,0.0,81.38706730829269,137896.5161652185
IAE,S7,Up Res+,SKA,930863.1308844008,17.1641049875632,0.0,0.0,81.38706730811973,137896.51616522047
IAE,S8,Down Normal,KMA,930863.1308844008,17.68107969045662,0.0,0.0,136.5782905305342,87813.18478791548
IAE,S8,Down Normal,GA,930863.1308844008,17.738651285346208,0.0,0.0,147.2188271146374,87530.30477080036
IAE,S8,Down Normal,HOA,930863.1308844008,17.7045856073452,0.0,0.0,137.74571055300405,87846.07014778262
IAE,S8,Down Normal,PSO,930863.1308844008,17.681079689641923,0.0,0.0,136.5782905305342,87813.18478750072
IAE,S8,Down Normal,SKA,930863.1308844008,17.68107968964208,0.0,0.0,136.5782905305344,87813.18478750096
IAE,S9,Down Mass+,KMA,930863.1308844008,17.64259059528874,0.0,0.0,162.77254179760175,88473.61527027689
IAE,S9,Down Mass+,GA,930863.1308844008,17.675237851874048,0.0,0.0,134.131820964216,88106.96038209109
IAE,S9,Down Mass+,HOA,930863.1308844008,17.639745883990134,0.0,0.0,159.496957128208,88464.25035975747
IAE,S9,Down Mass+,PSO,930863.1308844008,17.64259059528874,0.0,0.0,162.77254179760175,88473.61527051154
IAE,S9,Down Mass+,SKA,930863.1308844008,17.64259059528874,0.0,0.0,162.77254179760146,88473.61527051078
IAE,S10,Down Mass-,KMA,930863.1308844008,17.727460522138074,0.0,0.0,151.56529993367752,87140.18810978155
IAE,S10,Down Mass-,GA,930863.1308844008,17.775838916907844,0.0,0.0,130.5336450670921,86927.02031662337
IAE,S10,Down Mass-,HOA,930863.1308844008,17.76955376866584,0.0,0.0,148.6017772344367,87201.3572550522
